FID,SHAPE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,BEZIRK,ADRESSE,ANZAHL,ART_KAT
FAHRRADABSTELLANLAGEOGD.6557404,POINT (16.382653435314925 48.209830356428135),6557404,,1,Stubenring ggü. 1,20,0
FAHRRADABSTELLANLAGEOGD.6557405,POINT (16.372553283873884 48.21177607755327),6557405,,1,Marc-Aurel-Straße 3,4,0
FAHRRADABSTELLANLAGEOGD.6557406,POINT (16.37420217864998 48.212826395885344),6557406,,1,Morzinplatz ggü. 3,4,0
FAHRRADABSTELLANLAGEOGD.6557407,POINT (16.36044532465113 48.2154448799336),6557407,,9,"Währinger Straße ggü. 6-8, Straße des Achten Mai",10,0
FAHRRADABSTELLANLAGEOGD.6557408,POINT (16.359157988320458 48.229058886990195),6557408,,9,Althanstraße 14,8,0
FAHRRADABSTELLANLAGEOGD.6557409,POINT (16.44343216074062 48.25110995330928),6557409,,22,Doningasse 12,30,0
FAHRRADABSTELLANLAGEOGD.6557410,POINT (16.384112162780433 48.216036198737264),6557410,,2,Zirkusgasse 24,14,0
FAHRRADABSTELLANLAGEOGD.6557411,POINT (16.304515078139765 48.210955659027654),6557411,,16,Montleartstraße 52,8,0
FAHRRADABSTELLANLAGEOGD.6557412,POINT (16.37103718318487 48.178570460596575),6557412,,10,Gudrunstraße 144,6,0
FAHRRADABSTELLANLAGEOGD.6557413,POINT (16.369984156251185 48.21002359664161),6557413,,1,Milchgasse 2,6,0
FAHRRADABSTELLANLAGEOGD.6557414,POINT (16.348887913779777 48.194940778959285),6557414,,6,Loquaiplatz ggü. 10,8,0
FAHRRADABSTELLANLAGEOGD.6557415,POINT (16.421049918145062 48.22829444076813),6557415,,22,Schödlbergergasse 20,36,0
FAHRRADABSTELLANLAGEOGD.6557416,POINT (16.364770714391238 48.19790711365467),6557416,,4,Kühnplatz 5-6,8,0
FAHRRADABSTELLANLAGEOGD.6557417,POINT (16.36391946959122 48.19552425477082),6557417,,4,Margaretenstraße 31,6,0
FAHRRADABSTELLANLAGEOGD.6557418,POINT (16.307918733656116 48.16740456013552),6557418,,12,Hetzendorfer Straße 96,4,0
FAHRRADABSTELLANLAGEOGD.6557419,POINT (16.366902526195176 48.19500066132502),6557419,,4,Wiedner Hauptstraße 36,8,0
